veylune_sku,product_name,supplier_legal_name,supplier_id,supplier_sku,source_batch,country,primary_contact,pricing_authority_reference,currency,gross_price,net_price,tax_rate,availability_authority_reference,availability_status,verified_at,lead_time,delivery_class,returns_class,specification_pack_reference,width,height,depth,weight,dimensions_unit,media_rights_schedule_reference,rights_territories,rights_channels,rights_expiry,material_evidence_reference,primary_material,finish,color,source_owner,reviewer,reviewed_at
VLS-SOF-001,Aurelia Modular Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-SOF-003,Calma Travertine Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-SOF-004,Atelier Stone Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-SOF-002,Nocturne Floor Lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-DEC-000003,Tectona Travertine Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-DEC-000004,Meridian Cast-Metal Sculpture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-DEC-000006,Strata Marble Valet Tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-TEX-000001,Tactile Hand-Knotted Wool Rug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-LGT-000003,Lumen Ceramic Table Lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS-FUR-000009,Stillwater Upholstered Oak Bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
