record_id,sku,source_path,source_sha256,target_folder,target_file_name,target_private,rights_status,quality_status,approved_for_private_intake,planned_action,blocked_reasons,product_association_planned,admin_cover_planned,css_fallback_retained,idempotency_key
F01,VLS-FUR-000001,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f01-aurelia-modular-sofa-v1.webp,aa607005c7f651961df3e68d506d8dbae1e55bdc34a022aa57a6fb34943eee4e,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000001-primary-candidate-f01-aa607005c7f6,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,dd7b7955aa644aa624e35934f420d516abf37f2f0d1555744285d19abedd0bd8
F02,VLS-FUR-000002,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f02-liora-curved-sofa-v1.webp,337fb2b82c40b1c70cfc9c34f9de009c2b96a9646ec809cf8d5f8140a7e167c0,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000002-primary-candidate-f02-337fb2b82c40,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,5f8cf6d05b250caca5dd458dc7cf8da7e7e709a5b5cb9f5e6e8ae6c6d7709c89
F03,VLS-FUR-000003,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f03-oris-leather-lounge-chair-v1.webp,1f562887d933959e18789f108e30c7f6f72674f5950939b54629f75993363bf7,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000003-primary-candidate-f03-1f562887d933,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,963f7cd8d9155ff5da55a7cc00a02b84205a99d53921cb90ef34d9bb0cdb774d
F04,VLS-FUR-000004,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f04-selene-oak-lounge-chair-v1.webp,220a3c1c925b2c0bfa83c27b6d49e1d3ab9521f207f1e78293a7c478287633e6,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000004-primary-candidate-f04-220a3c1c925b,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,b0630eb729122e0e49d2e98346e14099f3956644149e9cab8930289d551af19f
F05,VLS-FUR-000005,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f05-edda-dining-chair-v1.webp,9acd2aa7d50c1ec2b36d7a16aa83bd9175a04b11c183099ce0319400eb201590,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000005-primary-candidate-f05-9acd2aa7d50c,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,f1287ef767550be89f34efb5c61b1f2a49adb18573214a912f1b1fef91e33f64
F06,VLS-FUR-000006,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f06-noma-metal-dining-chair-v1.webp,00273ee62c4f7b291c2e888dd0479fc1d5753e8772e95c2670a21491c50a49a4,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000006-primary-candidate-f06-00273ee62c4f,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,4f29de59d5304f33a6f728502d043d94ef04968181f7c95693ae2a92a5b1fb50
F07,VLS-FUR-000007,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f07-forma-desk-chair-v1.webp,09ad9638f17b4ce30d14595c42c451324e19fb39fea6e99c93c4613e4d32a2a0,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000007-primary-candidate-f07-09ad9638f17b,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,1e2f3cded27021d2a180c361c4228a9f2e754329a953d652c88f11517a19076b
F08,VLS-FUR-000008,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f08-talo-counter-stool-v1.webp,6a7210ff0ab91c98ef08aff69ba7638d989d7efd5e78e2ac03811c068852ce0c,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000008-primary-candidate-f08-6a7210ff0ab9,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,a19bc2cbc38aeeaa33e7a43cd3b430f85316e8e18fed96ea0db53c6068b96604
F09,VLS-FUR-000009,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f09-stillwater-oak-bench-v1.webp,989012c8baa3aeeed7b98587a4a077378801d93e7d0abf605bc040e3e5e5f55f,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000009-primary-candidate-f09-989012c8baa3,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,94fc301d49b1cb7d5337210f94d2b3ba920d3fd93a840dd8b7bb7ed7ae06194f
F10,VLS-FUR-000010,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f10-elara-travertine-coffee-table-v1.webp,c2cf64e5f1e12cbb8356417e252dbf01b7ca34b28fe7632eed6d6b850e175ef2,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000010-primary-candidate-f10-c2cf64e5f1e1,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,76bbf47513033493e3ff339a61c9f97955aebdcbeb9247c67a6a7bc552773a2c
F11,VLS-FUR-000011,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f11-varo-oak-coffee-table-v1.webp,4673328e8e03634309252f5af65d90153842c30dce6a8fbcdcbba6df5f169e1b,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000011-primary-candidate-f11-4673328e8e03,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,c891a26b773f765f8b0ac875e7ae65036f629eb7cb4e1db256ec2d6d2152b01c
F12,VLS-FUR-000012,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f12-neri-marble-side-table-v1.webp,05bcc774a0fc72515300795385274f80d82220ddb81930cccc794ee15c90b4f5,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000012-primary-candidate-f12-05bcc774a0fc,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,f329c3d91d8e492ca98f4280b12d89f999543f9bd1abc2626aa29ba715e130f5
F13,VLS-FUR-000013,custom/plugins/VeyluneTheme/src/Resources/app/storefront/src/assets/products/f13-portico-travertine-console-v1.webp,615249b52b49552fa5415675019754bef7768534d4e902c5fe650fba31f6168d,"Veylune/Catalog Intake/WP-CAT-04-DRAFT-50",veylune-vls-fur-000013-primary-candidate-f13-615249b52b49,yes,pending,blocked_below_minimum_long_edge,no,hold_for_review,rights_not_approved|quality_not_approved|localized_metadata_not_reviewed|private_intake_not_approved,no,no,yes,d362d9b7cb5cd769dfaed278590958a2e702fd72416a6c7b01ed272cc3a1fde1
